question,answer
Cuales son las empresas donde puedo realizar practicas preprofesionales en la Universidad de las Fuerzas Armadas ESPE,Empresa Electrica Quito Sertecpet Servicio Ecuatoriana de Normalizacion INEN Banco del Pacifico SA Escuela Politecnica Nacional Observatorio Astronomico Industrias Ales CA Consorcio Shushufindi Kamana Services SA Shaya Ecuador SA Camara de Comercio Latacunga Carrera de Finanzas y Auditoria Junta Provincial de Cotopaxi Cruz Roja Latacunga Kruger Corporation SA Compania Fumigadora Fumipalma Banco General Ruminahui Cepsa SA Fundacion de Apoyo comunitario y social del Ecuador FACES Industrias Kleber Shambi Inklersa Sicontac Center SA Puntonet SA Fundacion Janus Afigetec Cia Ltda Asestax Asesoria Empresarial SA Spectrum Resources Agencia de Regulacion y Control de las Telecomunicaciones ARCOTEL Taotechideas Cia Ltda Business IT Yanbal Ecuador Empresa Repsol Cruz Vital SA Duragas SA Info-Innova SA HOV Hoteleria Quito SA Universidad San Francisco de Quito Optimussocial Megadatos SA La Bella Italia Instituto Ecuatoriano de Seguridad Social IESS Diocesis de Latacunga Mondelez International Aiesec Baker Hughes Services Otecel Pepsico Pige-Proveedora Industrial Guantera Ecuatoriana GE Oil and Gas Ecuador SA Pinturas Condor Cia Oleoducto CP Huawei EPM Faneamiento y Carnicos DirecTV Quiport Hospital San Juan de Dios Manadialisis Alpina Mi Primer Empleo Adecco
Que proyectos de vinculacion en la carrera de Ingenieria en Software estan vigentes actualmente,Proyecto 1 Titulo Mantenimiento y repotenciacion de equipos informaticos Descripcion Zonas rurales y marginales de Orellana contribuyendo con la responsabilidad social de Schlumberger Ecuador Director del Proyecto Ing Edgar Fernando Solis Acosta Objetivos Asignacion de recursos y espacio fisico para la creacion del laboratorio de mantenimiento correctivo y repotenciacion de los equipos informaticos en la Universidad de las Fuerzas Armadas Departamento de Ciencias de la Computacion Implementacion del laboratorio para repotenciar los equipos informaticos en la Universidad de las Fuerzas Armadas ESPE Diagnosticar la situacion actual de los equipos informaticos entregados por Schlumberger Ecuador Proyecto 2 Titulo ESPE CASA SOMOS Descripcion Capacitacion en herramientas ofimaticas a los sectores urbano marginales rurales y de atencion prioritaria Director del Proyecto Ing Pamela Cecilia Gomez Martinez Objetivos Planificar y socializar el proyecto de manejo de herramientas ofimaticas Desarrollar el conocimiento y habilidades de los participantes en las herramientas digitales Realizar una evaluacion del programa de capacitacion en las principales herramientas de ofimatica mediante las actividades sincronicas asincronicas y la evaluacion final
De que trata el primer proyecto de vinculacion de Ingenieria en Software,El proyecto 1 trata sobre el Mantenimiento y repotenciacion de equipos informaticos en zonas rurales y marginales de Orellana contribuyendo con la responsabilidad social de Schlumberger Ecuador
Sobre que trata el segundo proyecto de vinculacion de la carrera de Ingenieria en Software,El proyecto 2 trata sobre la Capacitacion en herramientas ofimaticas a los sectores urbano marginales rurales y de atencion prioritaria
Quien es el director del primer proyecto de vinculacion de la carrera de Ingenieria en Software,El director del proyecto 1 es el Ing Edgar Fernando Solis Acosta
Cual es el nombre del director del segundo proyecto de vinculacion de la carrera de Ingenieria en Software,El director del proyecto 2 es la Ing Pamela Cecilia Gomez Martinez
Que objetivos tiene el primer proyecto de vinculacion en Ingenieria en Software,Asignacion de recursos y espacio fisico para la creacion del laboratorio de mantenimiento correctivo y repotenciacion de los equipos informaticos en la Universidad de las Fuerzas Armadas Departamento de Ciencias de la Computacion Implementacion del laboratorio para repotenciar los equipos informaticos en la Universidad de las Fuerzas Armadas ESPE Diagnosticar la situacion actual de los equipos informaticos entregados por Schlumberger Ecuador
Cuales son los objetivos del segundo proyecto de vinculacion en Ingenieria en Software,Planificar y socializar el proyecto de manejo de herramientas ofimaticas Desarrollar el conocimiento y habilidades de los participantes en las herramientas digitales Realizar una evaluacion del programa de capacitacion en las principales herramientas de ofimatica mediante las actividades sincronicas asincronicas y la evaluacion final
Que debo hacer si quiero realizar vinculacion en la carrera de Software,Debes acudir con el Dr Delgado Rodriguez Ramiro Nanac Coordinador de Vinculacion
Si deseo hacer practicas preprofesionales en Ingenieria en Software que pasos debo seguir,Debes acudir con el Dr Jorge Edison Lascano Coordinador de Practicas Pre Profesionales
Que pasos debo seguir si quiero realizar practicas preprofesionales en Ingenieria Civil,Lo siento en este momento no puedo mostrar la informacion solicitada ya que por el momento conozco esa informacion de la carrera de Ingenieria en Software
Que documentos necesito para hacer vinculacion en Ingenieria en Software,Para vinculacion se debe solicitar informacion directamente con el Ing Ramiro Delgado en el laboratorio H401 antes de las matriculas correspondientes al periodo en el que se desea realizar vinculacion
Quien es el Dr Delgado Rodriguez Ramiro Nanac,El Dr Delgado Rodriguez Ramiro Nanac es el Coordinador de Vinculacion
Quien es el Dr Jorge Edison Lascano,El Dr Jorge Edison Lascano es el Coordinador de Practicas Preprofesionales
